IDS_perfil,Ids_relacionamentos,IDS_perfil,
57,A1,55,
39,A1,55,
80,A1,55,
81,A1,55, 
43,A1,55,
82,A1,55,
83,A1,55,
84,A1,55,
60,A1,55,
85,A1,55,
61,A1,55,
86,A1,55,
87,A1,55,
88,A1,55,
55,A1,55,
89,A1,55,
64,A1,55,
90,A1,55,
63,A1,55,
91,A1,55,
56,A1,55,
92,A1,55,
93,A1,55,
94,A1,55,
95,A1,55,
96,A1,55,
56,A2,55,
97,A2,55,
66,A1,56,
98,A1,56,
99,A1,56,
56,A1,56,
92,A1,56,
68,A1,56,
100,A1,56,
48,A1,56,
101,A1,56,
102,A1,56,
67,A1,56,
89,A1,56,
70,A1,56,
39,A1,56,
51,A1,56,
103,A1,56,
99,A1,56,
67,A1,56,
104,A1,56,
105,A1,15,
109,A1,15,
107,A1,15,
108,A1,15,
109,A1,15,
110,A1,15,
111,A1,15,
112,A1,15,
113,A1,15,
114,A1,15,
115,A1,15,
116,A1,19,
117,A1,19,
118,A1,19,
119,A1,19,
120,A1,19,
88,A1,19,
121,A1,19,
122,A1,19,
123,A1,19,
124,A1,19,
94,A1,19,
125,A1,19,
72,A1,19,
57,A1,19,
126,A1,19,
127,A1,19,
128,A1,19,
129,A1,19,
130,A1,19,
131,A1,19,
132,A1,19,
133,A1,19,
134,A1,19,
104,A1,19,
135,A1,19,
136,A1,19,
137,A1,19,
138,A1,19,
139,A1,19,
140,A1,19,
141,A1,19,
116,A2,19,
72,A1,20,
24,A1,20,
126,A1,20,
80,A1,20,
20,A1,20,
142,A1,20,
143,A1,20,
144,A1,20,
145,A1,20,
38,A1,20,
146,A1,20,
147,A1,20,
148,A1,20,
149,A1,20,
150,A1,20,
151,A1,20,
152,A1,20,
153,A1,20,
154,A1,20,
155,A1,20,
156,A1,20,
157,A1,20,
158,A1,20,
159,A1,20,
160,A1,20,
161,A1,20,
98,A1,20,
162,A1,20,
163,A1,20,
164,A1,20,
21,A1,20,
165,A1,20,
69,A1,34,
39,A1,34,
57,A1,34,
126,A1,34,
166,A1,34,
167,A1,34,
168,A1,34,
169,A1,34,
170,A1,34,
171,A1,34,
172,A1,34,
173,A1,34,
174,A1,34,
175,A1,34,
176,A1,34,
177,A1,34,
178,A1,34,
120,A1,34,
179,A1,34,
180,A1,34,
181,A1,34,
182,A2,34,
169,A2,34,
168,A2,34,
72,A1,39,
183,A1,39,
39,A1,39,
57,A1,39,
126,A1,39,
184,A1,39,
185,A1,39,
186,A1,39,
187,A1,39,
81,A1,39,
43,A1,39,
166,A1,39,
188,A1,39,
189,A1,39,
89,A1,39,
190,A1,39,
191,A1,39,
122,A1,39,
192,A1,39,
193,A1,39,
194,A1,39,
195,A1,39,
196,A1,39,
137,A1,53,
197,A1,65,
198,A1,65,
199,A1,65,
200,A1,65,
201,A1,65,
39,A1,65,
71,A1,65,
202,A1,65,
56,A1,65,
92,A1,65,
203,A1,65,
200,A1,65,
204,A1,65,
205,A1,65,
43,A1,65,
69,A1,65,
206,A2,65,
207,A1,80,
208,A1,80,
209,A1,80,
210,A1,80,
211,A1,80,
212,A1,80,
213,A1,80,
214,A1,80,
215,A1,80,
216,A1,80,
217,A1,80,
218,A1,80,
219,A1,80,
220,A1,80,
221,A1,80,
222,A1,80,
223,A1,80,
224,A1,80,
225,A1,80,
136,A1,80,
226,A1,80,
227,A1,80,
228,A1,80,
229,A1,80,
230,A1,80,
231,A1,80,
232,A1,80,
233,A1,80,
234,A1,80,
235,A1,80,
236,A1,80,
39,A2,80,
237,A1,73,
238,A1,73,
239,A1,76,
240,A1,76,
241,A1,76,
242,A1,76,
243,A1,76,
58,A1,76,
244,A1,76,
245,A1,76,
246,A1,76,
247,A1,76,
248,A1,76,
249,A1,76,
72,A1,76,
127,A1,76,
250,A1,76,
251,A1,76,
252,A1,76,
253,A1,76,
254,A1,76,
255,A1,76,
256,A1,76,
257,A1,76,
258,A1,76,
259,A1,76,
260,A1,76,
261,A1,76,
262,A1,76,
263,A1,76,
32,A1,76,
264,A1,76,
265,A1,76,
266,A1,76,
267,A1,76,
268,A1,76,
269,A1,76,
242,A1,76,
243,A1,76,
270,A1,76,
271,A1,76,
190,A1,76,
272,A1,76,
273,A1,76,
274,A1,76,
275,A2,76,
65,A2,76,
276,A2,76,
255,A2,76,
243,A2,76,
277,A1,61,
278,A1,61,
279,A1,61,
280,A1,61,
281,A1,61,
282,A1,61,
283,A1,61,
284,A1,61,
285,A1,61,
286,A1,61,
287,A1,61,
130,A1,61,
59,A1,61,
288,A1,61,
289,A1,61,
290,A1,61,
291,A1,61,
292,A1,61,
293,A1,61,
294,A1,61,
295,A1,61,
296,A1,61,
297,A1,61,
298,A1,61,
299,A1,61,
300,A1,61,
301,A1,61,
302,A1,61,
303,A1,61,
304,A1,61,
305,A1,61,
306,A2,61,
305,A2,61,
283,A2,61,
307,A1,127,
127,A1,127,
308,A1,127,
309,A1,127,
310,A1,127,
311,A1,126,
312,A1,126,
313,A1,126,
314,A1,126,
315,A1,126,
316,A1,126,
317,A1,126,
318,A1,126,
319,A1,126,
320,A1,126,
283,A1,126,
60,A1,126,
321,A1,126,
322,A1,126,
323,A1,126,
324,A1,126,
325,A1,126,
326,A1,126,
327,A1,126,
39,A1,126,
24,A1,126,
328,A1,126,
32,A1,126,
329,A1,126,
330,A1,126,
331,A1,126,
332,A1,126,
333,A1,126,
334,A1,126,
335,A1,126,
336,A1,126,
321,A2,126,
337,A2,126,
338,A1,166,
339,A1,166,
340,A1,166,
166,A1,166,
341,A1,166,
342,A1,166,
343,A1,166,
344,A1,166,
345,A1,166,
346,A1,166,
347,A1,166,
348,A1,166,
349,A1,166,
350,A1,166,
186,A1,166,
187,A1,166,
351,A1,166,
352,A1,166,
353,A1,166,
354,A1,166,
268,A1,166,
341,A1,166,
320,A1,166,
136,A1,166,
366,A1,166,
344,A2,166,
355,A2,166,
122,A1,43,
356,A1,43,
283,A1,43,
358,A1,43,
312,A1,43,
21,A1,43,
359,A1,43,
360,A1,43,
90,A1,43,
361,A1,43,
190,A1,43,
62,A1,43,
362,A1,43,
266,A1,43,
351,A1,43,
21,A1,43,
363,A1,43,
361,A1,43,
364,A1,43,
275,A1,43,
21,A1,43,
366,A2,43,
62,A2,43,
57,A2,43,
368,A1,253,
369,A1,253,
72,A1,253,
308,A1,253,
370,A1,253,
371,A1,253,
372,A1,253,
373,A1,253,
374,A1,253,
375,A1,253,
376,A1,253,
39,A1,253,
307,A1,253,
377,A1,253,
378,A1,253,
379,A2,253,
39,A1,328,
117,A1,328,
380,A1,328,
72,A1,328,
381,A1,328,
382,A1,328,
383,A1,328,
384,A1,328,
320,A1,328,
190,A1,328,
385,A1,358,
386,A1,358,
387,A1,358,
388,A1,358,
389,A1,358,
190,A1,358,
350,A1,358,
390,A1,358,
391,A1,358,
392,A1,358,
393,A1,358,
394,A1,358,
395,A1,358,
396,A1,358,
397,A1,358,
398,A1,358,
399,A1,358,
400,A1,358,
401,A1,358,
402,A1,358,
403,A1,358,
404,A1,358,
405,A1,369,
406,A1,369,
407,A1,369,
177,A1,369,
408,A1,369,
409,A1,369,
410,A1,369,
383,A1,369,
282,A1,369,
411,A1,369,
412,A1,369,
411,A2,369,
282,A2,369,
413,A2,369,
415,A1,414,
416,A1,414,
72,A1,414,
417,A1,414,
418,A1,414,
419,A1,414,
420,A1,414,
421,A1,414,
360,A1,414,
62,A1,414,
39,A1,414,
422,A1,414,
423,A1,414,
424,A1,414,
191,A1,414,
425,A1,414,
426,A1,414,
427,A1,414,
203,A1,414,
62,A1,414,
173,A1,414,
428,A1,414,
372,A1,429,
430,A1,429,
431,A1,429,
432,A1,429,
70,A1,429,
433,A1,429,
434,A1,429,
435,A1,429,
436,A1,429,
437,A1,429,
438,A1,429,
39,A1,429,
439,A1,429,
440,A1,429,
441,A1,429,
442,A1,429,
443,A1,429,
444,A1,429,
445,A1,429,
446,A1,429,
447,A1,429,
448,A1,429,
449,A1,429,
450,A1,429,
451,A1,429,
352,A1,429,
452,A1,429,
453,A1,429,
454,A1,429,
455,A1,429,
456,A1,429,
457,A1,429,
458,A1,429,
372,A1,429,
430,A1,429,
431,A1,429,
432,A1,429,
70,A1,429,
433,A1,429,
459,A2,429,
365,A2,429,
460,A2,429,
461,A2,429,
71,A2,429,
